"region"	"boligtype"	"kvartal"	"Gjennomsnittlig kvadratmeterpris (kr)"	"Antall boligomsetninger"
"3001 Halden"	"Sm�hus"	"2011K4"	.	.
"3001 Halden"	"Sm�hus"	"2012K1"	.	.
"3001 Halden"	"Sm�hus"	"2012K2"	.	.
"3001 Halden"	"Sm�hus"	"2012K3"	.	.
"3001 Halden"	"Sm�hus"	"2012K4"	.	.
"3001 Halden"	"Sm�hus"	"2013K1"	.	.
"3001 Halden"	"Sm�hus"	"2013K2"	.	.
"3001 Halden"	"Sm�hus"	"2013K3"	.	.
"3001 Halden"	"Sm�hus"	"2013K4"	.	.
"3001 Halden"	"Sm�hus"	"2014K1"	.	.
"3001 Halden"	"Sm�hus"	"2014K2"	.	.
"3001 Halden"	"Sm�hus"	"2014K3"	.	.
"3001 Halden"	"Sm�hus"	"2014K4"	.	.
"3001 Halden"	"Sm�hus"	"2015K1"	.	.
"3001 Halden"	"Sm�hus"	"2015K2"	.	.
"3001 Halden"	"Sm�hus"	"2015K3"	.	.
"3001 Halden"	"Sm�hus"	"2015K4"	.	.
"3001 Halden"	"Sm�hus"	"2016K1"	.	.
"3001 Halden"	"Sm�hus"	"2016K2"	.	.
"3001 Halden"	"Sm�hus"	"2016K3"	.	.
"3001 Halden"	"Sm�hus"	"2016K4"	.	.
"3001 Halden"	"Sm�hus"	"2017K1"	.	.
"3001 Halden"	"Sm�hus"	"2017K2"	.	.
"3001 Halden"	"Sm�hus"	"2017K3"	.	.
"3001 Halden"	"Sm�hus"	"2017K4"	.	.
"3001 Halden"	"Sm�hus"	"2018K1"	.	.
"3001 Halden"	"Sm�hus"	"2018K2"	.	.
"3001 Halden"	"Sm�hus"	"2018K3"	.	.
"3001 Halden"	"Sm�hus"	"2018K4"	.	.
"3001 Halden"	"Sm�hus"	"2019K1"	.	.
"3001 Halden"	"Sm�hus"	"2019K2"	.	.
"3001 Halden"	"Sm�hus"	"2019K3"	.	.
"3001 Halden"	"Sm�hus"	"2019K4"	.	.
"3001 Halden"	"Sm�hus"	"2020K1"	..	7
"3001 Halden"	"Sm�hus"	"2020K2"	24256	16
"3001 Halden"	"Sm�hus"	"2020K3"	25929	18
"3001 Halden"	"Sm�hus"	"2020K4"	26748	13
"3001 Halden"	"Sm�hus"	"2021K1"	26549	10
"3001 Halden"	"Sm�hus"	"2021K2"	28368	19
"3001 Halden"	"Sm�hus"	"2021K3"	27455	22
"3001 Halden"	"Sm�hus"	"2021K4"	26153	14
"3001 Halden"	"Sm�hus"	"2022K1"	..	9
"3001 Halden"	"Sm�hus"	"2022K2"	27365	21
"3001 Halden"	"Sm�hus"	"2022K3"	30449	12
"3001 Halden"	"Sm�hus"	"2022K4"	30906	13
"3001 Halden"	"Sm�hus"	"2023K1"	36055	18
"3001 Halden"	"Sm�hus"	"2023K2"	27230	15
"3001 Halden"	"Sm�hus"	"2023K3"	33185	18
"3001 Halden"	"Blokkleiligheter"	"2006K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2006K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2006K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2006K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2007K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2007K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2007K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2007K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2008K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2008K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2008K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2008K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2009K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2009K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2009K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2009K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2010K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2010K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2010K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2010K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2011K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2011K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2011K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2011K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2012K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2012K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2012K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2012K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2013K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2013K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2013K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2013K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2014K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2014K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2014K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2014K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2015K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2015K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2015K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2015K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2016K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2016K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2016K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2016K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2017K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2017K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2017K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2017K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2018K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2018K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2018K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2018K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2019K1"	.	.
"3001 Halden"	"Blokkleiligheter"	"2019K2"	.	.
"3001 Halden"	"Blokkleiligheter"	"2019K3"	.	.
"3001 Halden"	"Blokkleiligheter"	"2019K4"	.	.
"3001 Halden"	"Blokkleiligheter"	"2020K1"	31557	13
"3001 Halden"	"Blokkleiligheter"	"2020K2"	27645	19
"3001 Halden"	"Blokkleiligheter"	"2020K3"	35100	27
"3001 Halden"	"Blokkleiligheter"	"2020K4"	32621	25
"3001 Halden"	"Blokkleiligheter"	"2021K1"	32659	18
"3001 Halden"	"Blokkleiligheter"	"2021K2"	35673	29
"3001 Halden"	"Blokkleiligheter"	"2021K3"	33254	21
"3001 Halden"	"Blokkleiligheter"	"2021K4"	33721	20
"3001 Halden"	"Blokkleiligheter"	"2022K1"	38022	17
